country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","21-08-2025 09:00:00",25.5626095,84.663264,PM10,25,28,27
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","21-08-2025 09:00:00",25.5626095,84.663264,NO2,3,9,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","21-08-2025 09:00:00",25.265194,87.012947,NO2,9,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","21-08-2025 09:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","21-08-2025 09:00:00",25.204762,85.514960,NH3,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","21-08-2025 09:00:00",25.567520,83.966379,PM2.5,60,63,63
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","21-08-2025 09:00:00",25.567520,83.966379,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","21-08-2025 09:00:00",25.567520,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","21-08-2025 09:00:00",25.567520,83.966379,OZONE,1,122,11
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","21-08-2025 09:00:00",16.5150833,80.5181667,PM10,14,35,24
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","21-08-2025 09:00:00",16.5150833,80.5181667,NO2,15,27,19
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","21-08-2025 09:00:00",16.5150833,80.5181667,NH3,3,4,4
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","21-08-2025 09:00:00",14.675886,77.593027,PM2.5,41,54,47
India,Assam,Guwahati,"IITG, Guwahati - PCBA","21-08-2025 09:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","21-08-2025 09:00:00",26.2028636,91.70046436,SO2,21,25,22
